Indice;Nom;NiveauDefense;NiveauProductivité;CapitaleFaction;Faction;Productions possibles (indexes séparées par |)
0;Aetharia;20;4;0;0;			6|5|21		
1;Paethelion;20;4;0;0;			6|8|5
2;Ombre-Mer;20;3;0;0;			14|7|5
3;Öuntaria;10;2;0;0;			6|5
4;Hayord;20;4;0;0;				3|5|9
5;Etheiria;30;5;5;5;			2|8|6
6;Ombre-Terre;20;3;0;0;			14|7
7;Stalia;10;2;0;0;				6
8;Daratia;20;3;0;0;				14|5
9;Eauclair;20;3;0;0;			1|11
10;Forgecourt;20;3;0;0;			6|8			
11;Fal;20;4;0;0;				2|1|5
12;Langame;10;2;0;0;			3	
13;Num﻿aën;10;2;0;0;				6			
14;Her﻿aën;10;2;0;0;				14			
15;Wildlyne;30;5;6;6;			1|5|16
16;Athiel;10;2;0;0;				11
17;Palaliel;30;4;3;3;			3|10|9
18;Xuryl;10;2;0;0;				3	
19;Salenerune;20;3;0;0;			6|8			
20;Vidrava;30;5;4;4;			14|30|10
21;Dolgarok;30;4;0;0;			2|16|5
22;Dueröm;20;2;0;0;				2|5		
23;Kurir;30;4;0;0;				7|14|5		
24;Breewood;30;4;0;0;			3|9|22	
25;Boythorp;20;3;0;0;			7|14	
26;Wayhill;30;4;0;0;			15|12|24
27;Orwindon;10;2;0;0;			3	
28;Kinbuzir;30;4;0;0;			2|1|23		
29;Narakzar;20;3;0;0;			2|5		
30;Evradhon;30;4;0;0;			2|16|5	
31;Ibeoes;20;3;0;0;				14|20			
32;Reizull;20;3;0;0;			15|17
33;Kalea;10;2;0;0;				11
34;Admoor;30;4;0;0;				0|9|5		
35;Snakemoor;20;3;0;0;			15|5
36;Breford;20;3;0;0;			3|9	
37;Eldrotag;20;3;0;0;			15|17
38;Llane;20;3;0;0;				11
39;Slinderidel;30;5;8;8; 		12|5|17
40;Mithladhell;10;2;0;0;		11
41;Lafeld;20;3;0;0;				15|14	
42;Antdun;20;3;0;0;				30|0
43;Sheygrove;20;3;0;0;			11|12
44;Liburhn;30;5;2;2;			30|0|9
45;Tamor;20;3;0;0;				5|15
46;Nethorp;10;2;0;0;			2
47;Maham;30;4;0;0;				2|1|5			
48;Tedon;30;5;1;1;				11|1|10
49;Watun;20;3;0;0;				9|0			
50;Gitun;30;4;0;0;				15|12|17
51;Wydale;10;2;0;0;				0			
52;Teehill;20;3;0;0;			0|5			
53;Heybluff;30;4;0;0;			2|1|5			
54;Khuramunz;20;3;0;0;			11|10			
55;Thrinain;10;2;0;0;			0			
56;Ireul;10;2;0;0;				2
57;Rielat;20;3;0;0;				2|10			
58;Mielel;30;4;0;0;				11|4|5		
59;Zieliah;20;3;0;0;			13|4
60;Alphon;20;3;0;0;				13|5
61;Irah;20;3;0;0;				11|2
62;Zeriel;10;2;0;0;				11
63;Hasdalph;20;3;0;0;			11|4
64;Seraf;20;3;0;0;				11|1	
65;Hielik;10;2;0;0;				2
66;Jundalph;30;4;0;0;			2|1|19
67;Zielaph;10;2;0;0;			11
68;Gagadr;20;3;0;0;				13|18	
69;Orwick;30;5;7;7;				13|1|4
70;Bridord;30;4;0;0;			13|4|18
71;Megrove;20;3;0;0;			13|5
72;Beyfield;10;2;0;0;			2
